,State,StateAbbr,MemberPrice,Zipcodes,fips
AL,Alabama,AL,20,90210,AL
AK,Alaska,AK,20,90210,AK
AZ,Arizona,AZ,20,90210,AZ
AR,Arkansas,AR,20,90210,AR
CA,California,CA,20,90210,CA
CO,Colorado,CO,20,90210,CO
CT,Connecticut,CT,20,90210,CT
DE,Delaware,DE,20,90210,DE
DC,District of Columbia,DC,20,90210,DC
FL,Florida,FL,20,90210,FL
GA,Georgia,GA,20,90210,GA
HI,Hawaii,HI,20,90210,HI
ID,Idaho,ID,20,90210,ID
IL,Illinois,IL,20,90210,IL
IN,Indiana,IN,20,90210,IN
IA,Iowa,IA,20,90210,IA
KS,Kansas,KS,20,90210,KS
KY,Kentucky,KY,20,90210,KY
LA,Louisiana,LA,20,90210,LA
ME,Maine,ME,20,90210,ME
MD,Maryland,MD,20,90210,MD
MA,Massachusetts,MA,20,90210,MA
MI,Michigan,MI,20,90210,MI
MN,Minnesota,MN,20,90210,MN
MS,Mississippi,MS,20,90210,MS
MO,Missouri,MO,20,90210,MO
MT,Montana,MT,20,90210,MT
NE,Nebraska,NE,20,90210,NE
NV,Nevada,NV,20,90210,NV
NH,New Hampshire,NH,20,90210,NH
NJ,New Jersey,NJ,20,90210,NJ
NM,New Mexico,NM,20,90210,NM
NY,New York,NY,20,90210,NY
NC,North Carolina,NC,20,90210,NC
ND,North Dakota,ND,20,90210,ND
OH,Ohio,OH,20,90210,OH
OK,Oklahoma,OK,20,90210,OK
OR,Oregon,OR,20,90210,OR
PA,Pennsylvania,PA,20,90210,PA
RI,Rhode Island,RI,20,90210,RI
SC,South Carolina,SC,20,90210,SC
SD,South Dakota,SD,20,90210,SD
TN,Tennessee,TN,20,90210,TN
TX,Texas,TX,20,90210,TX
UT,Utah,UT,20,90210,UT
VT,Vermont,VT,20,90210,VT
VA,Virginia,VA,20,90210,VA
WA,Washington,WA,20,90210,WA
WV,West Virginia,WV,20,90210,WV
WI,Wisconsin,WI,20,90210,WI
WY,Wyoming,WY,20,90210,WY
